dis,sign,add,totalm2,zone,tradeymd,tradef,totalf,state,mainuse,mater,comy,totalbm2,room,hall,health,sep,org,tp,unitp,parkcat,parkm2,parkp,mainbm2,auxbm2,balm2,ele,建物,房地(土地+建物),房地(土地+建物)+車位,住,其他都市土地使用分區,商,住商用,住家用,其他主要用途,商業用,工業用,辦公用,磚造,鋼筋混凝土造,鋼骨造,其他車位類別,坡道平面,機械車位,無車位,tradeyr,buildyr,age,住宅大樓(11層含以上有電梯),公寓(5樓含以下無電梯),華廈(10層含以下有電梯),透天厝,year_average_cpi,year_increase_cpi,med,lat,lng,park_d,park_q,mu_d,mu_q,lib_d,lib_q,mrt_d,mrt_q,edu_d,edu_q,fire_d,fire_q,dead_d,dead_q,pol_d,pol_q,post_d,post_q,hosp_d,hosp_q,fin_d,fin_q
士林區,房地(土地+建物)+車位,臺北市士林區延平北路六段２１１號五樓,33.66,住,1110925,5,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050525,188.51,3,1,2,1,1,25000000,132612,坡道平面,35.5,0,87.32,4.44,11.66,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,105,6,1,0,0,0,107.12,0.0,527000,25.0893546,121.5055705,1,11,1,0,1,1,1,0,1,2,1,0,1,0,1,1,1,2,1,62,1,6
北投區,房地(土地+建物),臺北市北投區中央南路二段１２之６號十四樓,8.28,其他都市土地使用分區,1110914,14,19,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1040828,55.02,0,0,0,0,1,8500000,154489,無車位,0.0,0,29.32,1.93,6.2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,111,104,7,1,0,0,0,107.12,0.0,526000,25.1271554,121.5001587,1,33,1,0,1,1,1,5,1,6,1,1,1,0,1,3,1,3,1,90,1,13
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段３５７巷９號二樓,75.44,住,1110919,2,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,770905,255.05,4,2,2,1,0,44680000,175181,坡道平面,0.0,0,173.46,2.63,20.94,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,77,34,0,0,1,0,107.12,0.0,526000,25.1241667,121.5249501,1,18,1,0,1,2,1,0,1,1,1,0,1,0,1,1,1,2,1,81,1,11
士林區,房地(土地+建物),臺北市士林區劍潭路６號五樓之３,12.66,商,1110915,5,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871211,80.82,3,1,1,1,1,17000000,210344,無車位,0.0,0,54.13,1.09,5.58,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,87,24,1,0,0,0,107.12,0.0,527000,25.0839281,121.5243305,1,13,1,0,1,1,1,3,1,6,1,3,1,0,1,3,1,3,1,81,1,15
北投區,房地(土地+建物)+車位,臺北市北投區中央北路二段３５０巷７０號八樓,45.5,住,1110926,8,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,183.36,3,2,2,1,1,26550000,144797,坡道平面,0.0,0,98.33,0.0,11.5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,104,7,1,0,0,0,107.12,0.0,526000,25.1395778,121.4884361,1,16,1,0,1,2,1,2,1,2,1,1,1,0,1,1,1,2,1,10,1,1
士林區,房地(土地+建物),臺北市士林區雨農路２５號二樓,108.21,其他都市土地使用分區,1110915,2,2,公寓(5樓含以下無電梯),商業用,磚造,610408,240.45,5,2,4,1,0,58000000,241214,無車位,0.0,0,240.45,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,111,61,50,0,1,0,0,107.12,0.0,527000,25.0985756,121.5322642,1,21,1,0,1,1,1,2,1,4,1,0,1,0,1,1,1,2,1,53,1,17
北投區,房地(土地+建物)+車位,臺北市北投區行義路１２之１號六樓,30.41,住,1110901,6,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931018,153.86,3,2,2,1,1,32850000,213506,坡道平面,32.22,0,77.96,2.15,9.59,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,93,18,1,0,0,0,107.12,0.0,526000,25.124638,121.5265405,1,19,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,2,1,80,1,12
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段１１７號四樓之１,8.07,其他都市土地使用分區,1110912,4,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980702,85.87,1,1,1,1,1,16500000,192151,坡道平面,14.97,0,27.51,1.28,3.82,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,111,98,13,1,0,0,0,107.12,0.0,550000,25.0333077,121.5738687,1,26,1,0,1,1,1,9,1,7,1,4,1,0,1,5,1,3,1,124,1,71
信義區,房地(土地+建物)+車位,臺北市信義區光復南路５２５號十三樓,4.09,商,1110902,13,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,891124,51.85,0,1,1,1,1,10850000,209257,機械車位,0.0,0,18.39,0.59,1.74,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,111,89,22,1,0,0,0,107.12,0.0,550000,25.0317558,121.5576266,1,24,1,1,1,2,1,11,1,9,1,4,1,0,1,3,1,5,1,235,1,116
松山區,房地(土地+建物),臺北市松山區八德路二段３４８號二樓之８,4.17,商,1110909,2,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980123,47.47,1,1,1,1,1,16150000,340215,無車位,0.0,0,27.46,1.48,2.88,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,111,98,13,1,0,0,0,107.12,0.0,639000,25.0476012,121.545363,1,26,1,0,1,3,1,26,1,11,1,2,1,0,1,4,1,6,1,252,1,117
松山區,房地(土地+建物),臺北市松山區南京東路五段２３９號五樓之７,4.42,其他都市土地使用分區,1110907,5,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331,55.44,1,1,1,1,1,14700000,265152,無車位,0.0,0,31.52,1.39,3.65,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,98,13,1,0,0,0,107.12,0.0,639000,25.051652,121.564802,1,21,1,1,1,1,1,4,1,8,1,3,1,0,1,2,1,5,1,190,1,52
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段４１１巷９０弄２７號二樓之３,8.66,住,1110904,2,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,981204,54.75,1,1,1,1,1,11800000,215525,機械車位,0.0,0,26.64,2.96,2.78,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,111,98,13,0,0,1,0,107.12,0.0,593000,25.084902,121.571437,1,20,1,0,1,2,1,4,1,6,1,0,1,0,1,2,1,2,1,69,1,40
中山區,房地(土地+建物),臺北市中山區大直街２０巷６號四樓,34.6,住,1110917,4,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680115,126.17,3,2,2,1,0,27280000,216216,無車位,0.0,0,111.48,0.0,14.69,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,111,68,43,0,1,0,0,107.12,0.0,567000,25.081204,121.545928,1,19,1,0,1,1,1,3,1,6,1,0,1,0,1,1,1,3,1,45,1,14
